"PARM_CD","CASRN","PARM_SEQ_GRP_NM","PARM_SEQ_GRP_DS","PARM_NM","PARM_UNT_TX","PARM_DS","PARM_MEDIUM_TX","PARM_FRAC_TX","PARM_TEMP_TX","PARM_STAT_TX","PARM_TM_TX","PARM_WT_TX","PARM_SIZE_TX"
"66625","40596-69-8","Organics, Pesticides","Organics, Pesticides","Methoprene, bs, dw","ug/kg","Methoprene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66634","88671-89-0","Organics, Pesticides","Organics, Pesticides","Myclobutanil, bs, dw","ug/kg","Myclobutanil, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66642","709-98-8","Organics, Pesticides","Organics, Pesticides","Propanil, bs, dw","ug/kg","Propanil, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66645","60207-90-1","Organics, Pesticides","Organics, Pesticides","Propiconazole, bs, dw","ug/kg","Propiconazole, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66648","175013-18-0","Organics, Pesticides","Organics, Pesticides","Pyraclostrobin, bs, dw","ug/kg","Pyraclostrobin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66650","107534-96-3","Organics, Pesticides","Organics, Pesticides","Tebuconazole, bs, dw","ug/kg","Tebuconazole, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66656","112281-77-3","Organics, Pesticides","Organics, Pesticides","Tetraconazole, bs, dw","ug/kg","Tetraconazole, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66659","7696-12-0","Organics, Pesticides","Organics, Pesticides","Tetramethrin, bs, dw","ug/kg","Tetramethrin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"66662","141517-21-7","Organics, Pesticides","Organics, Pesticides","Trifloxystrobin, bs, dw","ug/kg","Trifloxystrobin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67538","626-43-7","Organics, Pesticides","Organics, Pesticides","3,5-Dichloroaniline, bs","ug/kg","3,5-Dichloroaniline, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67552","188425-85-6","Organics, Pesticides","Organics, Pesticides","Boscalid, bs","ug/kg","Boscalid, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67564","81777-89-1","Organics, Pesticides","Organics, Pesticides","Clomazone, bs","ug/kg","Clomazone, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67576","121552-61-2","Organics, Pesticides","Organics, Pesticides","Cyprodinil, bs","ug/kg","Cyprodinil, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67584","119446-68-3","Organics, Pesticides","Organics, Pesticides","Difenoconazole, bs","ug/kg","Difenoconazole, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67606","80844-07-1","Organics, Pesticides","Organics, Pesticides","Etofenprox, bs","ug/kg","Etofenprox, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67611","131807-57-3","Organics, Pesticides","Organics, Pesticides","Famoxadone, bs","ug/kg","Famoxadone, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67615","60168-88-9","Organics, Pesticides","Organics, Pesticides","Fenarimol, bs","ug/kg","Fenarimol, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67620","114369-43-6","Organics, Pesticides","Organics, Pesticides","Fenbuconazole, bs","ug/kg","Fenbuconazole, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67624","126833-17-8","Organics, Pesticides","Organics, Pesticides","Fenhexamid, bs","ug/kg","Fenhexamid, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67638","79622-59-6","Organics, Pesticides","Organics, Pesticides","Fluazinam, bs","ug/kg","Fluazinam, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67642","131341-86-1","Organics, Pesticides","Organics, Pesticides","Fludioxonil, bs","ug/kg","Fludioxonil, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67647","193740-76-0","Organics, Pesticides","Organics, Pesticides","Fluoxastrobin, bs","ug/kg","Fluoxastrobin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67651","85509-19-9","Organics, Pesticides","Organics, Pesticides","Flusilazole, bs","ug/kg","Flusilazole, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67655","76674-21-0","Organics, Pesticides","Organics, Pesticides","Flutriafol, bs","ug/kg","Flutriafol, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67664","35554-44-0","Organics, Pesticides","Organics, Pesticides","Imazalil, bs","ug/kg","Imazalil, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67672","143390-89-0","Organics, Pesticides","Organics, Pesticides","Kresoxim-methyl, bs","ug/kg","Kresoxim-methyl, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67708","23950-58-5","Organics, Pesticides","Organics, Pesticides","Propyzamide, bs","ug/kg","Propyzamide, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67719","53112-28-0","Organics, Pesticides","Organics, Pesticides","Pyrimethanil, bs","ug/kg","Pyrimethanil, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67733","79538-32-2","Organics, Pesticides","Organics, Pesticides","Tefluthrin, bs","ug/kg","Tefluthrin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67743","43121-43-3","Organics, Pesticides","Organics, Pesticides","Triadimefon, bs","ug/kg","Triadimefon, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67748","55219-65-3","Organics, Pesticides","Organics, Pesticides","Triadimenol, bs","ug/kg","Triadimenol, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67755","68694-11-1","Organics, Pesticides","Organics, Pesticides","Triflumizole, bs","ug/kg","Triflumizole, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67760","131983-72-7","Organics, Pesticides","Organics, Pesticides","Triticonazole, bs","ug/kg","Triticonazole, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67765","50471-44-8","Organics, Pesticides","Organics, Pesticides","Vinclozolin, bs","ug/kg","Vinclozolin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67770","156052-68-5","Organics, Pesticides","Organics, Pesticides","Zoxamide, bs","ug/kg","Zoxamide, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68324","133-06-2","Organics, Pesticides","Organics, Pesticides","Captan, bs","ug/kg","Captan, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Recoverable","","","","Dry",""
"68356","68085-85-8","Organics, Pesticides","Organics, Pesticides","Cyhalothrin (all isomers), bs","ug/kg","Cyhalothrin (all isomers), bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Recoverable","","","","Dry",""
"68375","110488-70-5","Organics, Pesticides","Organics, Pesticides","Dimethomorph, bs","ug/kg","Dimethomorph, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Recoverable","","","","Dry",""
"68439","57837-19-1","Organics, Pesticides","Organics, Pesticides","Metalaxyl, bs","ug/kg","Metalaxyl, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Recoverable","","","","Dry",""
"68876","6967-29-9","Organics, Pesticides","Organics, Pesticides","Alachlor 2nd amide, bs","ug/kg","2-Chloro-2',6'-diethylacetanilide, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68878","1861-40-1","Organics, Pesticides","Organics, Pesticides","Benfluralin, bs","ug/kg","Benfluralin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68880","33629-47-9","Organics, Pesticides","Organics, Pesticides","Butralin, bs","ug/kg","Butralin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68882","56-72-4","Organics, Pesticides","Organics, Pesticides","Coumaphos, bs","ug/kg","Coumaphos, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68884","122008-85-9","Organics, Pesticides","Organics, Pesticides","Cyhalofop-butyl, bs","ug/kg","Cyhalofop-butyl, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68886","97886-45-8","Organics, Pesticides","Organics, Pesticides","Dithiopyr, bs","ug/kg","Dithiopyr, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68888","134098-61-6","Organics, Pesticides","Organics, Pesticides","Fenpyroximate, bs","ug/kg","Fenpyroximate, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68891","1115248-09-3","Organics, Pesticides","Organics, Pesticides","Desulfinylfipronil amide, bs","ug/kg","Desulfinylfipronil amide, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68893","142459-58-3","Organics, Pesticides","Organics, Pesticides","Flufenacet, bs","ug/kg","Flufenacet, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68895","62924-70-3","Organics, Pesticides","Organics, Pesticides","Flumetralin, bs","ug/kg","Flumetralin, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68897","66332-96-5","Organics, Pesticides","Organics, Pesticides","Flutolanil, bs","ug/kg","Flutolanil, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68899","173584-44-6","Organics, Pesticides","Organics, Pesticides","Indoxacarb, bs","ug/kg","Indoxacarb, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68901","116714-46-6","Organics, Pesticides","Organics, Pesticides","Novaluron, bs","ug/kg","Novaluron, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68903","19666-30-9","Organics, Pesticides","Organics, Pesticides","Oxadiazon, bs","ug/kg","Oxadiazon, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68905","29091-21-2","Organics, Pesticides","Organics, Pesticides","Prodiamine, bs","ug/kg","Prodiamine, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68907","2312-35-8","Organics, Pesticides","Organics, Pesticides","Propargite, bs","ug/kg","Propargite, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68909","96489-71-3","Organics, Pesticides","Organics, Pesticides","Pyridaben, bs","ug/kg","Pyridaben, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68911","","Organics, Pesticides","Organics, Pesticides","Tebupirimfos oxon, bs","ug/kg","Tebupirimfos oxygen analog, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68913","96182-53-5","Organics, Pesticides","Organics, Pesticides","Tebupirimfos, bs","ug/kg","Tebupirimfos, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68915","116-29-0","Organics, Pesticides","Organics, Pesticides","Tetradifon, bs","ug/kg","Tetradifon, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68917","117718-60-2","Organics, Pesticides","Organics, Pesticides","Thiazopyr, bs","ug/kg","Thiazopyr, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"68919","2303-17-5","Organics, Pesticides","Organics, Pesticides","Triallate, bs","ug/kg","Triallate, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"71921","7439-97-6","Major and Trace Elements","Major and Trace Elements","Mercury, bs, recov","mg/kg","Mercury, bed sediment, recoverable, dry weight, milligrams per kilogram","Sediment","Bed Sediment","","","","Dry",""
"78688","7287-19-6","Organics, Pesticides","Organics, Pesticides","Prometryn, bs","ug/kg","Prometryn, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"80164","","Bed Sediment Characterization","Bed Sediment Characterization","Bed sediment <0.0625mm, sieve","%","Bed sediment, sieve diameter, percent smaller than 0.0625 millimeters","Sediment","Bed Sediment","","","","","< 0.0625 mm"
"81404","2921-88-2","Organics, Pesticides","Organics, Pesticides","Chlorpyrifos, bs","ug/kg","Chlorpyrifos, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"82402","1610-18-0","Organics, Pesticides","Organics, Pesticides","Prometon, bs","ug/kg","Prometon, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"69052","","Bed Sediment Characterization","Bed Sediment Characterization","Bed sediment <25mm, sieve","%","Bed sediment, sieve diameter, percent smaller than 25 millimeters","Sediment","Bed Sediment","","","","","< 25 mm"
"62359","603-17-8","Biological","Biological","Pheophytin a, periphyton","mg/m2","Pheophytin a, periphyton, milligrams per square meter","Biological Tissue","","","","","",""
"70957","479-61-8","Biological","Biological","Chlorophyll a, peri, cf meth","mg/m2","Chlorophyll a, periphyton, chromatographic-fluorometric method, milligrams per square meter","Biological Tissue","","","","","",""
"65235","90-12-0","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","1-Methylnaphthalene, bs","ug/kg","1-Methylnaphthalene, bed sediment, recoverable, dry weight, micrograms per kilogram","Sediment","Bed Sediment","","","","Dry",""
"67510","83799-24-0","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Fexofenadine, w,f<0.2um","ng/l","Fexofenadine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67511","196618-13-0","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Oseltamivir, w,f<0.2um","ng/l","Oseltamivir, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67512","","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Omeprazole+Esompraz, wf<0.2um","ng/l","Omeprazole + Esomeprazole, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67514","29385-43-1","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Methylbenzotriazole, w,f<0.2u","ng/l","Methyl-1H-benzotriazole, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67515","53179-11-6","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Loperamide, w,f<0.2um","ng/l","Loperamide, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67516","525-66-6","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Propranolol, w,f<0.2um","ng/l","Propranolol, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67517","27203-92-5","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Tramadol, w,f<0.2um","ng/l","Tramadol, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67518","4205-90-7","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Clonidine w,f<0.2um","ng/l","Clonidine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67519","42399-41-7","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Diltiazem, w,f<0.2um","ng/l","Diltiazem, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67521","54739-18-3","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Fluvoxamine, w,f<0.2um","ng/l","Fluvoxamine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67522","50-48-6","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Amitriptyline, w,f<0.2um","ng/l","Amitriptyline, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67523","51384-51-1","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Metoprolol, w,f<0.2um","ng/l","Metoprolol, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67524","60-87-7","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Promethazine, w,f<0.2um","ng/l","Promethazine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67525","59-05-2","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Methotrexate, w,f<0.2um","ng/l","Methotrexate, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67527","61869-08-7","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Paroxetine, w,f<0.2um","ng/l","Paroxetine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67528","79617-96-2","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Sertraline, w,f<0.2um","ng/l","Sertraline, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67529","80474-14-2","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Fluticasonepropionate,f<0.2um","ng/l","Fluticasone propionate, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67530","84449-90-1","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Raloxifene, w,f<0.2um","ng/l","Raloxifene, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67531","486460-32-6","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Sitagliptin, w,f<0.2um","ng/l","Sitagliptin, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67532","87857-41-8","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Norsertraline, w,f<0.2um","ng/l","Norsertraline, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67534","93413-69-5","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Venlafaxine, w,f<0.2um","ng/l","Venlafaxine, water, filtered (0.2 micron filter), recoverable, nanograms per liter","Water","Dissolved","","","","","< 0.2 um"
"67995","1159-82-6","Organics, Pharmaceuticals","Organics, Pharmaceuticals","10-Hydroxy-amitriptyline, wf","ng/l","10-Hydroxy-amitriptyline, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"67997","86-13-5","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Benztropine, wf","ng/l","Benztropine, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"67999","","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Desmethyldiltiazem, wf","ng/l","Desmethyldiltiazem, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68000","76824-35-6","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Famotidine, wf","ng/l","Famotidine, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68001","29094-61-9","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Glipizide, wf","ng/l","Glipizide, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68002","10238-21-8","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Glyburide, wf","ng/l","Glyburide, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68005","68-88-2","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Hydroxyzine, wf","ng/l","Hydroxyzine, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68006","42200-33-9","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Nadolol, wf","ng/l","Nadolol, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68007","67018-85-3","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Norverapamil, wf","ng/l","Norverapamil, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68008","94-78-0","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Phenazopyridine, wf","ng/l","Phenazopyridine, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68009","469-62-5","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Propoxyphene, wf","ng/l","Propoxyphene, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68011","130-95-0","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Quinine, wf","ng/l","Quinine, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68012","102676-47-1","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Fadrozole, wf","ng/l","Fadrozole, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68014","65277-42-1","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Ketoconazole, wf","ng/l","Ketoconazole, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68015","10540-29-1","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Tamoxifen, wf","ng/l","Tamoxifen, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68017","129618-40-2","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Nevirapine, wf","ng/l","Nevirapine, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68018","134678-17-4","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Lamivudine, wf","ng/l","Lamivudine, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68021","39809-25-1","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Penciclovir, wf","ng/l","Penciclovir, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68022","136470-78-5","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Abacavir, wf","ng/l","Abacavir, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68250","28981-97-7","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Alprazolam, wf","ng/l","Alprazolam, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68251","93413-62-8","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Desvenlafaxine, wf","ng/l","Desvenlafaxine, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68252","1088-11-5","Organics, Pharmaceuticals","Organics, Pharmaceuticals","Nordiazepam, wf","ng/l","Nordiazepam, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"77146","106-44-5","Organics, Industrial","Organics, Industrial","p-Cresol, wu","ug/l","p-Cresol, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"77223","98-82-8","Organics, VOCs","Organics, VOCs","Isopropylbenzene, wu","ug/l","Isopropylbenzene, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"77571","86-74-8","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","Carbazole, wu","ug/l","Carbazole, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"81436","58-08-2","Organics, Waste Indicator Compounds","Organics, Waste Indicator Compounds","Caffeine, wu","ug/l","Caffeine, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"81696","90-12-0","Organics, PAHs and SVOCs","Organics, PAHs and SVOCs","1-Methylnaphthalene, wu","ug/l","1-Methylnaphthalene, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"82612","51218-45-2","Organics, Pesticides","Organics, Pesticides","Metolachlor, wu","ug/l","Metolachlor, water, unfiltered, recoverable, micrograms per liter","Water","Recoverable","","","","",""
"65069","63-25-2","Organics, Pesticides","Organics, Pesticides","Carbaryl, wf","ng/l","Carbaryl, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"66589","131860-33-8","Organics, Pesticides","Organics, Pesticides","Azoxystrobin, wf","ng/l","Azoxystrobin, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"66646","175013-18-0","Organics, Pesticides","Organics, Pesticides","Pyraclostrobin, wf","ng/l","Pyraclostrobin, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68519","30560-19-1","Organics, Pesticides","Organics, Pesticides","Acephate, wf","ng/l","Acephate, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
"68548","10605-21-7","Organics, Pesticides","Organics, Pesticides","Carbendazim, wf","ng/l","Carbendazim, water, filtered, recoverable, nanograms per liter","Water","Dissolved","","","","",""
